Sensor.Gene	Sensor.Name	Sensor.Type	Sensor.Pathway	HMDB.ID	Metabolite.Name	Metabolite.Class	Metabolite.Pathway	Long.Range.Channel	Evidences	Sources
NR3C2	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	receptor	WP4058: HSP90 chaperone cycle for steroid hormone receptors (SHR)	HMDB0000063	Cortisol	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	38759498; 15967794; 38866188	MetalinkDB
NR3C2	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	receptor	WP4058: HSP90 chaperone cycle for steroid hormone receptors (SHR)	HMDB0000037	Aldosterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Saliva,Urine	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands; 38437868;	Mebocost; MetaChatDB; MetalinkDB
NR3C2	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	receptor	WP4058: HSP90 chaperone cycle for steroid hormone receptors (SHR)	HMDB0000016	Deoxycorticosterone	Lipids and lipid-like molecules	Steroidogenesis	Amniotic Fluid,Blood	38866188	MetalinkDB
NR3C2	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	receptor	WP4058: HSP90 chaperone cycle for steroid hormone receptors (SHR)	HMDB0001547	Corticosterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Urine	38866188; 35601687	MetalinkDB
NR4A2	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	receptor	WP3888: VEGFA-VEGFR2 signaling; WP2355: Corticotropin-releasing hormone signaling; WP170: Nuclear receptors	HMDB0002752	Prostaglandin A2	Lipids and lipid-like molecules	Arachidonic Acid Metabolism	Blood	16141523	MetaChatDB
NR4A2	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	receptor	WP3888: VEGFA-VEGFR2 signaling; WP2355: Corticotropin-releasing hormone signaling; WP170: Nuclear receptors	HMDB0002656	Prostaglandin A1	Lipids and lipid-like molecules		Blood	32636414	MetaChatDB
NR5A1	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	receptor	WP170: Nuclear receptors	HMDB0000252	Sphingosine	Organic nitrogen compounds	Starch and sucrose metabolism	Blood,Feces,Urine	17196738	MetaChatDB
OPN3	Opsin-3 (Encephalopsin) (Panopsin)	receptor	WP3594: Circadian rhythm genes; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP5094: Orexin receptor pathway	HMDB0036565	beta-Ionone	Lipids and lipid-like molecules		Saliva	39937635	MetalinkDB
OPRD1	Delta-type opioid receptor (D-OR-1) (DOR-1)	receptor	WP4066: Interleukin-4 and Interleukin-13 signaling; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP24: Peptide GPCRs	HMDB0001045	Enkephalin L	Organic acids and derivatives		Blood	26671460	MetaChatDB
OPRM1	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	receptor	WP5093: Opioid receptor pathways; WP4066: Interleukin-4 and Interleukin-13 signaling; WP69: T-cell receptor signaling; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP1978: Opioid signaling; WP24: Peptide GPCRs	HMDB0041936	Morphine-3-glucuronide	Alkaloids and derivatives		Blood,Urine	28871199	MetaChatDB
OPRM1	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	receptor	WP5093: Opioid receptor pathways; WP4066: Interleukin-4 and Interleukin-13 signaling; WP69: T-cell receptor signaling; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP1978: Opioid signaling; WP24: Peptide GPCRs	HMDB0001045	Enkephalin L	Organic acids and derivatives		Blood	33917474	MetaChatDB
OR13A1	Olfactory receptor 13A1 (Olfactory receptor OR10-3)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0000306	Tyramine	Benzenoids	Tyrosine metabolism	Blood,Feces,Saliva,Urine	33915977	MetaChatDB
OR51E1	Olfactory receptor 51E1 (D-GPCR) (G-protein coupled receptor 164) (Olfactory receptor 52A3) (Prostate-overexpressed G protein-coupled receptor) (Prostate-specific G protein-coupled receptor 2)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0000847	Pelargonic acid	Lipids and lipid-like molecules		Blood,Feces,Saliva,Sweat,Urine	28116519	MetaChatDB
OR51E1	Olfactory receptor 51E1 (D-GPCR) (G-protein coupled receptor 164) (Olfactory receptor 52A3) (Prostate-overexpressed G protein-coupled receptor) (Prostate-specific G protein-coupled receptor 2)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0000039	Butyric acid	Lipids and lipid-like molecules	Butyrate Metabolism	Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	38412097	MetaChatDB
OR51E2	Olfactory receptor 51E2 (HPRAJ) (Olfactory receptor OR11-16) (Prostate-specific G-protein coupled receptor)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0003955	19-Hydroxyandrost-4-ene-3,17-dione	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood	29892571	MetaChatDB
OR51E2	Olfactory receptor 51E2 (HPRAJ) (Olfactory receptor OR11-16) (Prostate-specific G-protein coupled receptor)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0000042	Acetic acid	Organic acids and derivatives	Amino Sugar Metabolism; Aspartate Metabolism; Pyruvate metabolism	Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	37371783	MetaChatDB
OR51I1	Olfactory receptor 51I1 (Odorant receptor HOR5'beta11) (Olfactory receptor OR11-39)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0000039	Butyric acid	Lipids and lipid-like molecules	Butyrate Metabolism	Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	28116519	MetaChatDB
OR51I2	Olfactory receptor 51I2 (Odorant receptor HOR5'beta12) (Olfactory receptor OR11-38)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0036565	beta-Ionone	Lipids and lipid-like molecules		Saliva	27226631	MetaChatDB
OR52N2	Olfactory receptor 52N2 (Olfactory receptor OR11-57)	receptor	WP3608: Olfactory receptor activity; WP4427: G alpha (s) signaling events	HMDB0001220	Prostaglandin E2	Lipids and lipid-like molecules	Arachidonic Acid Metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	34071686	MetaChatDB
ORAI1	Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A)	transporter		HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	26814231	MetaChatDB
OSBPL2	Oxysterol-binding protein-related protein 2 (ORP-2) (OSBP-related protein 2)	transporter		HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	31356817	MetaChatDB
OSBPL6	Oxysterol-binding protein-related protein 6 (ORP-6) (OSBP-related protein 6)	transporter		HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	26941018	MetaChatDB
OSBPL9	Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)	transporter		HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	18165705	MetaChatDB
OXER1	Oxoeicosanoid receptor 1 (5-oxo-ETE G-protein coupled receptor) (G-protein coupled receptor 170) (G-protein coupled receptor R527) (G-protein coupled receptor TG1019)	receptor	WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors)	HMDB0000234	Testosterone	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	28290516; 30753403	MetaChatDB
OXGR1	2-oxoglutarate receptor 1 (Alpha-ketoglutarate receptor 1) (G-protein coupled receptor 80) (G-protein coupled receptor 99) (P2Y purinoceptor 15) (P2Y15) (P2Y-like GPCR) (P2Y-like nucleotide receptor)	receptor	WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors)	HMDB0002200	Leukotriene E4	Lipids and lipid-like molecules		Blood,Cerebrospinal Fluid (CSF),Urine	27185938	MetaChatDB
OXGR1	2-oxoglutarate receptor 1 (Alpha-ketoglutarate receptor 1) (G-protein coupled receptor 80) (G-protein coupled receptor 99) (P2Y purinoceptor 15) (P2Y15) (P2Y-like GPCR) (P2Y-like nucleotide receptor)	receptor	WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors)	HMDB0000208	Oxoglutaric acid	Organic acids and derivatives	Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Glutamate Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Lysine degradation; Nitrogen metabolism; Phenylalanine and Tyrosine Metabolism; Propanoate metabolism; Tryptophan metabolism; Tyrosine metabolism; Urea Cycle; Valine, leucine and isoleucine degradation; beta-Alanine metabolism	Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	https://gpcrdb.org/ligand/statistics;	Mebocost; MetalinkDB
P2RX1	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)	receptor,transporter	WP4049: Neutrophil degranulation; WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetaChatDB; MetalinkDB
P2RX2	P2X purinoceptor 2 (P2X2) (ATP receptor) (Purinergic receptor)	receptor,transporter	WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetalinkDB
P2RX3	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	receptor,transporter	WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetaChatDB; MetalinkDB
P2RX4	P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor)	receptor,transporter	WP4998: Cell recruitment (pro-inflammatory response); WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetaChatDB; MetalinkDB
P2RX5	P2X purinoceptor 5 (P2X5) (ATP receptor) (Purinergic receptor)	receptor,transporter	WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194	Mebocost
P2RX6	P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)	receptor,transporter	WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetalinkDB
P2RX7	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	receptor,transporter	WP2763: Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling; WP4998: Cell recruitment (pro-inflammatory response); WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194	Mebocost
P2RX7	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	receptor,transporter	WP2763: Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling; WP4998: Cell recruitment (pro-inflammatory response); WP4900: Purinergic signaling	HMDB0000902	NAD	Nucleosides, nucleotides, and analogues	Androgen and Estrogen Metabolism; Arginine and proline metabolism; Butyrate Metabolism; Caffeine Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty Acid Elongation In Mitochondria; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Ketone Body Metabolism; Lysine degradation; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Phospholipid Biosynthesis; Porphyrin Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Pterine Biosynthesis; Purine metabolism; Pyruvate metabolism; Retinol Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroidogenesis; Tryptophan metabolism; Tyrosine metabolism; Urea Cycle; Valine, leucine and isoleucine degradation; beta-Alanine metabolism	Blood,Cellular Cytoplasm	19542469	MetaChatDB
P2RY1	P2Y purinoceptor 1 (P2Y1) (ADP receptor) (Purinergic receptor)	receptor	WP4424: G alpha (q) signaling events; WP1908: Signal amplification; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194;	Mebocost; MetalinkDB
P2RY1	P2Y purinoceptor 1 (P2Y1) (ADP receptor) (Purinergic receptor)	receptor	WP4424: G alpha (q) signaling events; WP1908: Signal amplification; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0001341	ADP	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Biosynthesis of unsaturated fatty acids; Citric Acid Cycle; Cysteine Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine	24335194;	Mebocost; MetaChatDB; MetalinkDB
P2RY11	P2Y purinoceptor 11 (P2Y11)	receptor	WP4424: G alpha (q) signaling events; WP117: GPCRs, other; WP4427: G alpha (s) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000285	Uridine triphosphate	Nucleosides, nucleotides, and analogues	Amino Sugar Metabolism; Galactose Metabolism; Nucleotide Sugars Metabolism; Pyrimidine metabolism; Starch and sucrose metabolism	Saliva	24335194	Mebocost
P2RY11	P2Y purinoceptor 11 (P2Y11)	receptor	WP4424: G alpha (q) signaling events; WP117: GPCRs, other; WP4427: G alpha (s) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	24335194	Mebocost
P2RY12	P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999)	receptor	WP1908: Signal amplification; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0002200	Leukotriene E4	Lipids and lipid-like molecules		Blood,Cerebrospinal Fluid (CSF),Urine	19822647	MetalinkDB
