,Metabolite,Sensor,Metabolite.Pathway,Sensor.Pathway,Metabolite.Names,Long.Range.Channel
1465,HMDB0001520,Cnr1,Arginine and proline metabolism; Beta-alanine metabolism; Pantothenate and coa biosynthesis; Pyrimidine metabolism; Riboflavin metabolism; Vitamin b6 metabolism,"WP117: GPCRs, other; WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP247: Small ligand GPCRs; WP3679: Cell-type dependent selectivity of CCK2R signaling; WP3869: Cannabinoid receptor signaling; WP4321: Thermogenesis; WP4549: Fragile X syndrome; WP455: GPCRs, class A rhodopsin-like; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP",Flavin mononucleotide,"Blood,Feces"
1466,HMDB0001520,Npy2r,Arginine and proline metabolism; Beta-alanine metabolism; Pantothenate and coa biosynthesis; Pyrimidine metabolism; Riboflavin metabolism; Vitamin b6 metabolism,"WP24: Peptide GPCRs; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP455: GPCRs, class A rhodopsin-like",Flavin mononucleotide,"Blood,Feces"
1467,HMDB0001547,Slc22a3,Steroidogenesis,WP2267: Synaptic vesicle pathway,Corticosterone,"Blood,Urine"
1468,HMDB0001547,Nr3c2,Steroidogenesis,WP3527: Pre-implantation embryo; WP554: ACE inhibitor pathway,Corticosterone,"Blood,Urine"
1469,HMDB0001547,Nr3c1,Steroidogenesis,WP170: Nuclear receptors; WP236: Adipogenesis; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2840: Hair follicle development: cytodifferentiation - part 3 of 3; WP2853: Endoderm differentiation; WP2880: Glucocorticoid receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3599: Transcription factor regulation in adipogenesis; WP4149: White fat cell differentiation; WP4482: Vitamin D in inflammatory diseases; WP4949: 16p11.2 proximal deletion syndrome; WP5426: HDAC6 interactions in the central nervous system; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP734: Serotonin receptor 4/6/7 and NR3C signaling,Corticosterone,"Blood,Urine"
1470,HMDB0001565,Cd300lf,Phospholipid biosynthesis; Starch and sucrose metabolism,,Phosphorylcholine,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
1471,HMDB0001830,Nr3c2,Steroidogenesis,WP3527: Pre-implantation embryo; WP554: ACE inhibitor pathway,Progesterone,"Blood,Cerebrospinal Fluid (CSF),Urine"
1472,HMDB0001830,Pgr,Steroidogenesis,WP170: Nuclear receptors; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP34: Ovarian infertility; WP4262: Breast cancer pathway; WP4352: Ciliary landscape; WP4536: Genes related to primary cilium development (based on CRISPR); WP4656: Joubert syndrome; WP4803: Ciliopathies; WP5316: Primary ovarian insufficiency; WP5399: NPHP1 deletion syndrome,Progesterone,"Blood,Cerebrospinal Fluid (CSF),Urine"
1473,HMDB0001847,Adora2a,Caffeine metabolism,"WP117: GPCRs, other; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP3869: Cannabinoid receptor signaling; WP4222: Phosphodiesterases in neuronal function; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP727: Monoamine transport; WP80: Nucleotide GPCRs",Caffeine,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
1474,HMDB0001852,Nr1h3,Retinol metabolism,WP170: Nuclear receptors; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP236: Adipogenesis; WP2874: Liver X receptor pathway; WP2878: PPAR-alpha pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3594: Circadian rhythm genes; WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3942: PPAR signaling pathway; WP4149: White fat cell differentiation; WP4396: Nonalcoholic fatty liver disease; WP4718: Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; WP5329: Cholesterol biosynthesis pathway in hepatocytes; WP5381: Smith-Magenis and Potocki-Lupski syndrome copy number variation,all-trans-Retinoic acid,"Blood,Urine"
1475,HMDB0001852,Rxrg,Retinol metabolism,"WP170: Nuclear receptors; WP236: Adipogenesis; WP3942: PPAR signaling pathway; WP4255: Non-small cell lung cancer; WP4341: Non-genomic actions of 1,25 dihydroxyvitamin D3; WP4658: Small cell lung cancer; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism",all-trans-Retinoic acid,"Blood,Urine"
1476,HMDB0001852,Rarb,Retinol metabolism,WP170: Nuclear receptors; WP2857: Mesodermal commitment pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP4255: Non-small cell lung cancer; WP4658: Small cell lung cancer; WP5053: Development of ureteric collection system; WP5236: Markers of kidney cell lineage; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism,all-trans-Retinoic acid,"Blood,Urine"
1477,HMDB0001852,Rxrb,Retinol metabolism,"WP1531: Vitamin D metabolism; WP170: Nuclear receptors; WP3942: PPAR signaling pathway; WP4255: Non-small cell lung cancer; WP4341: Non-genomic actions of 1,25 dihydroxyvitamin D3; WP4658: Small cell lung cancer; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism",all-trans-Retinoic acid,"Blood,Urine"
1478,HMDB0001852,Ncoa2,Retinol metabolism,WP138: Androgen receptor signaling pathway; WP2355: Corticotropin-releasing hormone signaling pathway; WP236: Adipogenesis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3594: Circadian rhythm genes,all-trans-Retinoic acid,"Blood,Urine"
1479,HMDB0001852,Rxra,Retinol metabolism,"WP1531: Vitamin D metabolism; WP1541: Energy metabolism; WP170: Nuclear receptors; WP236: Adipogenesis; WP2874: Liver X receptor pathway; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2877: Vitamin D receptor pathway; WP2878: PPAR-alpha pathway; WP2879: Farnesoid X receptor pathway; WP2880: Glucocorticoid receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3599: Transcription factor regulation in adipogenesis; WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3942: PPAR signaling pathway; WP3995: Prion disease pathway; WP4141: PI3K/AKT/mTOR - vitamin D3 signaling; WP4255: Non-small cell lung cancer; WP4341: Non-genomic actions of 1,25 dihydroxyvitamin D3; WP4342: Vitamins A and D - action mechanisms; WP4396: Nonalcoholic fatty liver disease; WP4482: Vitamin D in inflammatory diseases; WP4658: Small cell lung cancer; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP5113: Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway; WP5130: Th17 cell differentiation pathway; WP5238: Cholestasis; WP5351: Kleefstra syndrome; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism",all-trans-Retinoic acid,"Blood,Urine"
1480,HMDB0001852,Rarg,Retinol metabolism,WP170: Nuclear receptors; WP2853: Endoderm differentiation; WP2857: Mesodermal commitment pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP5053: Development of ureteric collection system; WP5397: Vitamin A1 and A5/X pathways; WP716: Vitamin A and carotenoid metabolism,all-trans-Retinoic acid,"Blood,Urine"
1481,HMDB0001852,Rara,Retinol metabolism,WP170: Nuclear receptors; WP236: Adipogenesis; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3658: Wnt/beta-catenin signaling pathway in leukemia; WP4149: White fat cell differentiation; WP4342: Vitamins A and D - action mechanisms; WP5053: Development of ureteric collection system; WP5130: Th17 cell differentiation pathway; WP5236: Markers of kidney cell lineage; WP5293: Acute myeloid leukemia; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism,all-trans-Retinoic acid,"Blood,Urine"
1482,HMDB0001870,Gab2,,WP2018: RANKL/RANK signaling pathway; WP2037: Prolactin signaling pathway; WP2203: Thymic stromal lymphopoietin (TSLP) signaling pathway; WP23: B cell receptor signaling pathway; WP286: IL-3 signaling pathway; WP304: Kit receptor signaling pathway; WP3640: Imatinib and chronic myeloid leukemia; WP3676: BDNF-TrkB signaling; WP395: IL-4 signaling pathway; WP4223: Ras signaling; WP437: EGF/EGFR signaling pathway; WP49: IL-2 signaling pathway; WP585: Interferon type I signaling pathways; WP69: T-cell receptor signaling pathway,Benzoic acid,"Blood,Breath,Feces,Saliva,Sweat,Urine"
1483,HMDB0001870,Havcr2,,WP4217: Ebola virus infection in host; WP5039: SARS-CoV-2 innate immunity evasion and cell-specific immune response; WP5078: T cell modulation in pancreatic cancer,Benzoic acid,"Blood,Breath,Feces,Saliva,Sweat,Urine"
1484,HMDB0001881,Tgs1,Pyruvate metabolism,"WP15: Selenium micronutrient network; WP167: Eicosanoid synthesis; WP3287: Overview of nanoparticle effects; WP4707: Aspirin and miRNAs; WP4719: Eicosanoid metabolism via cyclooxygenases (COX); WP5122: Prostaglandin and leukotriene metabolism in senescence ; WP5155: Arachidonic acid (AA, ARA) oxylipin metabolism; WP5321: Prostaglandin and leukotriene metabolism in senescence ; WP5324: Octadecanoid formation from linoleic acid; WP5424: Omega-6-fatty acids in senescence; WP5444: Acetaminophen in analgesia and antipyresis; WP98: Prostaglandin synthesis and regulation",Propylene glycol,"Blood,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
1485,HMDB0001888,Rorc,,WP170: Nuclear receptors; WP3594: Circadian rhythm genes; WP4545: Oxysterols derived from cholesterol; WP4657: 22q11.2 copy number variation syndrome; WP5130: Th17 cell differentiation pathway; WP5198: Inflammatory bowel disease signaling; WP5347: IL-26 signaling pathways,"N,N-Dimethylformamide","Blood,Saliva,Urine"
1486,HMDB0001889,Adora2a,Caffeine metabolism,"WP117: GPCRs, other; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP3869: Cannabinoid receptor signaling; WP4222: Phosphodiesterases in neuronal function; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP727: Monoamine transport; WP80: Nucleotide GPCRs",Theophylline,"Blood,Cerebrospinal Fluid (CSF),Feces,Urine"
1487,HMDB0001893,Scarb1,,"WP15: Selenium micronutrient network; WP1533: Vitamin B12 metabolism; WP176: Folate metabolism; WP1982: Sterol regulatory element-binding proteins (SREBP) signaling; WP430: Statin inhibition of cholesterol production; WP4522: Metabolic pathway of LDL, HDL and TG, including diseases; WP4846: SARS-CoV-2 and COVID-19 pathway; WP5110: Familial hyperlipidemia type 3; WP5238: Cholestasis; WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists; WP5304: Cholesterol metabolism; WP5323: Fatty acids and lipoproteins transport in hepatocytes; WP716: Vitamin A and carotenoid metabolism",alpha-Tocopherol,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
1488,HMDB0001893,Npc1l1,,WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists; WP5304: Cholesterol metabolism; WP5333: Enterocyte cholesterol metabolism; WP716: Vitamin A and carotenoid metabolism,alpha-Tocopherol,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
1489,HMDB0001901,SLC6A4,,WP1455: Serotonin transporter activity; WP2267: Synaptic vesicle pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3594: Circadian rhythm genes; WP5417: Cell lineage map for neuronal differentiation; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP727: Monoamine transport,Aminocaproic acid,"Blood,Feces"
1490,HMDB0001901,Slc6a4,,WP1455: Serotonin transporter activity; WP2267: Synaptic vesicle pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3594: Circadian rhythm genes; WP5417: Cell lineage map for neuronal differentiation; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP727: Monoamine transport,Aminocaproic acid,"Blood,Feces"
1491,HMDB0001901,Epha2,,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3888: VEGFA-VEGFR2 signaling; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP5087: Pleural mesothelioma,Aminocaproic acid,"Blood,Feces"
1492,HMDB0001903,Vdr,,"WP1531: Vitamin D metabolism; WP170: Nuclear receptors; WP2289: Drug induction of bile acid pathway; WP2877: Vitamin D receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP34: Ovarian infertility; WP4141: PI3K/AKT/mTOR - vitamin D3 signaling; WP4341: Non-genomic actions of 1,25 dihydroxyvitamin D3; WP4342: Vitamins A and D - action mechanisms; WP4482: Vitamin D in inflammatory diseases; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4969: RAS and bradykinin pathways in COVID-19; WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists",Calcitriol,"Blood,Feces"
1493,HMDB0001917,Rorc,,WP170: Nuclear receptors; WP3594: Circadian rhythm genes; WP4545: Oxysterols derived from cholesterol; WP4657: 22q11.2 copy number variation syndrome; WP5130: Th17 cell differentiation pathway; WP5198: Inflammatory bowel disease signaling; WP5347: IL-26 signaling pathways,Digoxin,Blood
1494,HMDB0001921,Slc22a1,,WP4917: Proximal tubule transport; WP5238: Cholestasis; WP5362: TAR syndrome,"1,1-Dimethylbiguanide","Blood,Feces,Urine"
1495,HMDB0001926,Nr1i2,,WP170: Nuclear receptors; WP2289: Drug induction of bile acid pathway; WP2876: Pregnane X receptor pathway; WP2880: Glucocorticoid receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP4545: Oxysterols derived from cholesterol; WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists,17a-Ethynylestradiol,"Blood,Urine"
1496,HMDB0001927,Slc22a1,,WP4917: Proximal tubule transport; WP5238: Cholestasis; WP5362: TAR syndrome,Diphenhydramine,Blood
1497,HMDB0001934,CHRNB2,,WP1602: Nicotine effect on dopaminergic neurons; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Nicotine,"Blood,Saliva,Urine"
1498,HMDB0001934,CHRNA3,,WP1602: Nicotine effect on dopaminergic neurons; WP1603: Nicotine effect on chromaffin cells,Nicotine,"Blood,Saliva,Urine"
1499,HMDB0001934,Chrna4,,WP1602: Nicotine effect on dopaminergic neurons; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Nicotine,"Blood,Saliva,Urine"
1500,HMDB0001934,CHRNA4,,WP1602: Nicotine effect on dopaminergic neurons; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Nicotine,"Blood,Saliva,Urine"
1501,HMDB0001934,Chrna3,,WP1602: Nicotine effect on dopaminergic neurons; WP1603: Nicotine effect on chromaffin cells,Nicotine,"Blood,Saliva,Urine"
1502,HMDB0001934,Chrnb2,,WP1602: Nicotine effect on dopaminergic neurons; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Nicotine,"Blood,Saliva,Urine"
1503,HMDB0001999,Ppard,Alpha-linolenic acid metabolism,WP1541: Energy metabolism; WP170: Nuclear receptors; WP236: Adipogenesis; WP2858: Ectoderm differentiation; WP2877: Vitamin D receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3658: Wnt/beta-catenin signaling pathway in leukemia; WP3942: PPAR signaling pathway; WP399: Wnt signaling pathway and pluripotency; WP4030: SCFA and skeletal muscle substrate metabolism; WP4719: Eicosanoid metabolism via cyclooxygenases (COX); WP4721: Eicosanoid metabolism via lipooxygenases (LOX); WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists; WP5293: Acute myeloid leukemia; WP5434: Pathways in cancer,Eicosapentaenoic acid,"Blood,Feces,Sweat,Urine"
1504,HMDB0001999,Ppara,Alpha-linolenic acid metabolism,WP1541: Energy metabolism; WP170: Nuclear receptors; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP236: Adipogenesis; WP2878: PPAR-alpha pathway; WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3594: Circadian rhythm genes; WP3942: PPAR signaling pathway; WP4396: Nonalcoholic fatty liver disease; WP4707: Aspirin and miRNAs; WP4720: Eicosanoid metabolism via cytochrome P450 monooxygenases pathway; WP4721: Eicosanoid metabolism via lipooxygenases (LOX); WP5102: Familial partial lipodystrophy; WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists; WP5318: Female steroid hormones in cardiomyocyte energy metabolism,Eicosapentaenoic acid,"Blood,Feces,Sweat,Urine"
1505,HMDB0001999,Ffar4,Alpha-linolenic acid metabolism,,Eicosapentaenoic acid,"Blood,Feces,Sweat,Urine"
1506,HMDB0002003,Slc27a2,Biosynthesis of unsaturated fatty acids,WP3942: PPAR signaling pathway; WP4545: Oxysterols derived from cholesterol; WP5064: 7-oxo-C and 7-beta-HC pathways; WP5176: Disorders of bile acid synthesis and biliary transport; WP5323: Fatty acids and lipoproteins transport in hepatocytes,Tetracosanoic acid,"Blood,Feces"
1507,HMDB0002086,Amn,"Propanoate metabolism; Valine, leucine and isoleucine degradation",WP4271: Vitamin B12 disorders; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,Adenosylcobalamin,
1508,HMDB0002086,Cubn,"Propanoate metabolism; Valine, leucine and isoleucine degradation",WP1533: Vitamin B12 metabolism; WP4271: Vitamin B12 disorders; WP4758: Nephrotic syndrome; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,Adenosylcobalamin,
1509,HMDB0002103,Esr1,Primary bile acid biosynthesis,"WP170: Nuclear receptors; WP2034: Leptin signaling pathway; WP2586: Aryl hydrocarbon receptor pathway; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP4262: Breast cancer pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4545: Oxysterols derived from cholesterol; WP4673: Male infertility; WP4949: 16p11.2 proximal deletion syndrome; WP5235: Estradiol regulation in porto-sinusoidal vascular disease; WP5269: Genetic causes of porto-sinusoidal vascular disease; WP5316: Primary ovarian insufficiency; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5345: 1p36 copy number variation syndrome; WP5368: Sulfatase and aromatase pathway; WP5434: Pathways in cancer; WP712: Estrogen signaling pathway",27-Hydroxycholesterol,"Blood,Cerebrospinal Fluid (CSF)"
1510,HMDB0002151,Ncoa1,,WP138: Androgen receptor signaling pathway; WP1541: Energy metabolism; WP2034: Leptin signaling pathway; WP236: Adipogenesis; WP2873: Aryl hydrocarbon receptor pathway; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP364: IL6 signaling pathway; WP4262: Breast cancer pathway; WP5434: Pathways in cancer,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1511,HMDB0002151,Nrp1,,WP4846: SARS-CoV-2 and COVID-19 pathway; WP5065: SARS-CoV-2 altering angiogenesis via NRP1; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5145: COVID-19 structural coverage map; WP5284: Cell interactions of the pancreatic cancer microenvironment,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1512,HMDB0002151,Fgfr4,,WP3651: Pathways affected in adenoid cystic carcinoma; WP382: MAPK signaling pathway; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4389: Bile acids synthesis and enterohepatic circulation ; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4787: Osteoblast differentiation and related diseases; WP5055: Burn wound healing; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5312: Metabolic pathways of fibroblasts; WP5373: Osteoarthritic chondrocyte hypertrophy; WP5380: 5q35 copy number variation; WP5428: FGFR4 p.G388R signaling pathway; WP5434: Pathways in cancer,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1513,HMDB0002151,Ffar1,,"WP3958: GPR40 pathway; WP455: GPCRs, class A rhodopsin-like",Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1514,HMDB0002151,Nr3c2,,WP3527: Pre-implantation embryo; WP554: ACE inhibitor pathway,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1515,HMDB0002151,Cd44,,WP3646: Hepatitis C and hepatocellular carcinoma; WP399: Wnt signaling pathway and pluripotency; WP4541: Hippo-Merlin signaling dysregulation; WP4659: Gastrin signaling pathway; WP5087: Pleural mesothelioma,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1516,HMDB0002151,Esr1,,"WP170: Nuclear receptors; WP2034: Leptin signaling pathway; WP2586: Aryl hydrocarbon receptor pathway; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP4262: Breast cancer pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4545: Oxysterols derived from cholesterol; WP4673: Male infertility; WP4949: 16p11.2 proximal deletion syndrome; WP5235: Estradiol regulation in porto-sinusoidal vascular disease; WP5269: Genetic causes of porto-sinusoidal vascular disease; WP5316: Primary ovarian insufficiency; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5345: 1p36 copy number variation syndrome; WP5368: Sulfatase and aromatase pathway; WP5434: Pathways in cancer; WP712: Estrogen signaling pathway",Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1517,HMDB0002151,Ncoa2,,WP138: Androgen receptor signaling pathway; WP2355: Corticotropin-releasing hormone signaling pathway; WP236: Adipogenesis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3594: Circadian rhythm genes,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1518,HMDB0002151,Trem2,,WP3937: Microglia pathogen phagocytosis pathway,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1519,HMDB0002151,Mertk,,WP4217: Ebola virus infection in host; WP4533: Transcription co-factors SKI and SKIL protein partners; WP5090: Complement system in neuronal development and plasticity; WP5222: 2q13 copy number variation syndrome,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1520,HMDB0002151,Rxra,,"WP1531: Vitamin D metabolism; WP1541: Energy metabolism; WP170: Nuclear receptors; WP236: Adipogenesis; WP2874: Liver X receptor pathway; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2877: Vitamin D receptor pathway; WP2878: PPAR-alpha pathway; WP2879: Farnesoid X receptor pathway; WP2880: Glucocorticoid receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3599: Transcription factor regulation in adipogenesis; WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3942: PPAR signaling pathway; WP3995: Prion disease pathway; WP4141: PI3K/AKT/mTOR - vitamin D3 signaling; WP4255: Non-small cell lung cancer; WP4341: Non-genomic actions of 1,25 dihydroxyvitamin D3; WP4342: Vitamins A and D - action mechanisms; WP4396: Nonalcoholic fatty liver disease; WP4482: Vitamin D in inflammatory diseases; WP4658: Small cell lung cancer; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP5113: Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway; WP5130: Th17 cell differentiation pathway; WP5238: Cholestasis; WP5351: Kleefstra syndrome; WP5397: Vitamin A1 and A5/X pathways; WP5434: Pathways in cancer; WP716: Vitamin A and carotenoid metabolism",Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1521,HMDB0002151,Rorc,,WP170: Nuclear receptors; WP3594: Circadian rhythm genes; WP4545: Oxysterols derived from cholesterol; WP4657: 22q11.2 copy number variation syndrome; WP5130: Th17 cell differentiation pathway; WP5198: Inflammatory bowel disease signaling; WP5347: IL-26 signaling pathways,Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
1522,HMDB0002151,Egfr,,"WP138: Androgen receptor signaling pathway; WP2261: Glioblastoma signaling pathways; WP2324: AGE/RAGE pathway; WP2363: Gastric cancer network 2; WP2431: Spinal cord injury; WP2586: Aryl hydrocarbon receptor pathway; WP2643: Nanoparticle-mediated activation of receptor signaling; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2828: Bladder cancer; WP2840: Hair follicle development: cytodifferentiation - part 3 of 3; WP2868: TCA cycle nutrient use and invasiveness of ovarian cancer; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP2873: Aryl hydrocarbon receptor pathway; WP2882: Nuclear receptors meta-pathway; WP306: Focal adhesion; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP3611: Photodynamic therapy-induced AP-1 survival signaling; WP3680: Physico-chemical features and toxicity-associated pathways; WP382: MAPK signaling pathway; WP3853: ERK pathway in Huntington's disease; WP3873: RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis; WP3927: BMP signaling in eyelid development; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4217: Ebola virus infection in host; WP4223: Ras signaling; WP4255: Non-small cell lung cancer; WP4262: Breast cancer pathway; WP4263: Pancreatic adenocarcinoma pathway; WP4300: Extracellular vesicles in the crosstalk of cardiac cells; WP437: EGF/EGFR signaling pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4659: Gastrin signaling pathway; WP4674: Head and neck squamous cell carcinoma; WP4806: EGFR tyrosine kinase inhibitor resistance; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5158: Urotensin-II-mediated signaling pathway; WP5224: 2q37 copy number variation syndrome; WP5300: TROP2 regulatory signaling; WP5362: TAR syndrome; WP5366: NF1 copy number variation syndrome ; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP5426: HDAC6 interactions in the central nervous system; WP5434: Pathways in cancer; WP673: ErbB signaling pathway",Dimethyl sulfoxide,"Cerebrospinal Fluid (CSF),Feces"
